TITLE
TNN,2
NFIN,1
NFRN,1
NOR,1
NOL,1
NOS,1
NODES,1,2,
CON,(0.000000 0.000000 0.000000),(0.000000 1.000000 0.000000),
RODS,1,
BNR->ENR,p1 -> p2,
ELASTIC,210000000.000000,
SHEAR,80769000.000000,
AREA,1.000000,
IMY,0.000005,
IMZ,0.000005,
THETA,0.000000,
LOADS,1,
PLI,0,
NRL,1,
KOL,1,
VOL,-1.000000,
DLB,1.000000,
NOS,1,
NRS,1,
DSB,0.000000,
NORN,x1,y1,z1,
DISPLACEMENT,0.000000,0.000000,-0.001513,
DIVERSION,-0.002071,0.000000,0.000000,
NOS,x2(AXIAL),y2(SHEAR),z2(SHEAR),
AXIAL&SHEAR FORCE,0.000000,10.810000,0.000000,
TORQUE&BENDING MOMENT,0.000000,0.000000,-5.905000,
